"filename", "language", "pip requirements", "Shell Script", "C", "C++", "Markdown", "Python", "comment", "blank", "total"
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/cache_predictor.c", "C", 0, 0, 41, 0, 0, 0, 0, 11, 52
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/constants.c", "C", 0, 0, 20, 0, 0, 0, 0, 8, 28
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/csv-io.c", "C", 0, 0, 68, 0, 0, 0, 0, 26, 94
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/encoder_body.c", "C", 0, 0, 0, 0, 0, 0, 219, 24, 243
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/encoder_constants.c", "C", 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/encoder_helper.c", "C", 0, 0, 14, 0, 0, 0, 0, 3, 17
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/file_IO.c", "C", 0, 0, 18, 0, 0, 0, 0, 7, 25
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/generate_image.c", "C", 0, 0, 81, 0, 0, 0, 2, 30, 113
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/header.c", "C", 0, 0, 75, 0, 0, 0, 1, 25, 101
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/image.c", "C", 0, 0, 21, 0, 0, 0, 2, 4, 27
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/linear_algebra.c", "C", 0, 0, 33, 0, 0, 0, 0, 9, 42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/local_differences.c", "C", 0, 0, 85, 0, 0, 0, 0, 15, 100
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/local_sum.c", "C", 0, 0, 68, 0, 0, 0, 2, 7, 77
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/main.c", "C", 0, 0, 41, 0, 0, 0, 1, 8, 50
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/math_functions.c", "C", 0, 0, 13, 0, 0, 0, 0, 4, 17
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/predictor.c", "C", 0, 0, 62, 0, 0, 0, 0, 15, 77
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/quantizer.c", "C", 0, 0, 49, 0, 0, 0, 0, 13, 62
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/sample_representative.c", "C", 0, 0, 33, 0, 0, 0, 1, 8, 42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/synthetic_image_generator.c", "C", 0, 0, 212, 0, 0, 0, 4, 49, 265
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/weights.c", "C", 0, 0, 56, 0, 0, 0, 0, 11, 67
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/test_predictors.sh", "Shell Script", 0, 7, 0, 0, 0, 0, 3, 8, 18
"Total", "-", 135, 16, 1315, 75, 0, 601, 399, 720, 3261
